problem,algorithm,status,error_msg,algorithm_key,dim,run,seed,error,best_value,evaluations,budget,seconds
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,0,389948946,2.842170943040401e-14,79.48000000000003,20000,20000,1.71
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,1,3718142476,1.4210854715202004e-14,79.48000000000002,20000,20000,1.3945
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,2,2267488638,1.4210854715202004e-14,79.48000000000002,20000,20000,1.5226
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,3,1130452477,1.4210854715202004e-14,79.48000000000002,20000,20000,1.6902
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,4,1657486303,1.4210854715202004e-14,79.48000000000002,20000,20000,1.6642
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,5,3056147607,4.263256414560601e-14,79.48000000000005,20000,20000,1.6842
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,6,1982335180,1.4210854715202004e-14,79.48000000000002,20000,20000,1.558
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,7,3823351943,4.263256414560601e-14,79.48000000000005,20000,20000,1.543
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,8,3395390724,4.263256414560601e-14,79.48000000000005,20000,20000,1.3942
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,9,894497576,2.842170943040401e-14,79.48000000000003,20000,20000,1.5245
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,10,3277670939,4.263256414560601e-14,79.48000000000005,20000,20000,1.6042
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,11,2783247768,1.4210854715202004e-14,79.48000000000002,20000,20000,1.6751
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,12,2112054476,4.263256414560601e-14,79.48000000000005,20000,20000,1.6506
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,13,462976272,2.842170943040401e-14,79.48000000000003,20000,20000,1.5221
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,14,3873935490,1.4210854715202004e-14,79.48000000000002,20000,20000,1.4149
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,15,160666860,1.4210854715202004e-14,79.48000000000002,20000,20000,1.6324
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,16,2083503985,1.4210854715202004e-14,79.48000000000002,20000,20000,1.2718
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,17,4134706709,4.263256414560601e-14,79.48000000000005,20000,20000,1.6589
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,18,2110937766,1.4210854715202004e-14,79.48000000000002,20000,20000,1.5377
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,19,88097625,1.4210854715202004e-14,79.48000000000002,20000,20000,1.3815
BBOB_f1,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,20,322117878,2.842170943040401e-14,79.48000000000003,20000,20000,1.448
