problem,algorithm,status,error_msg,algorithm_key,dim,run,seed,error,best_value,evaluations,budget,seconds,best_x
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,0,1282431297,1.2130752659933464e-05,1.2130752659933464e-05,10000,10000,1.528,"[-1.0255966309200488, -1.3300242317081388, -2.9602563181377546, 1.9752715540204908, -2.2455706457764752, -3.9069662225808353, -2.5762025073022086, 4.21061982410106, -3.2099536658027015, 3.315214465404484]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,1,3907637475,4.179714700902615e-06,4.179714700902615e-06,10000,10000,1.5551,"[-0.9240226701504639, -4.667456977992438, -4.4094419976293455, -0.4477034906550118, -0.6355736713725619, -3.0470118636889865, -1.1393307187101058, -1.7581684554840304, 2.4805741353981317, 3.0351725699570857]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,2,1391505252,8.91167062150311e-05,8.91167062150311e-05,10000,10000,1.5531,"[-3.5619580829859494, 2.4628760023281315, -3.3987766143556026, -4.184482053581186, 1.3020172352147779, 1.6954253911576043, -4.545026781795066, -1.9684802897582099, -4.813447094309366, 2.821117175319823]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,3,1579374335,3.070017031880923e-05,3.070017031880923e-05,10000,10000,1.5303,"[0.20923324232057006, -4.998558111713113, -1.8882203113654938, -4.939155287554805, 4.527983025723628, 4.760965524281323, 1.3660217811877833, 4.929988331248517, 2.211111151715979, -0.9708257461479557]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,4,1825201776,0.0002222530194387895,0.0002222530194387895,10000,10000,1.5212,"[3.476451622006943, -1.1015580059866057, 2.9594578909119296, 2.790207656618216, 1.3249235184124792, 1.4823966128648034, -8.202975920035271e-05, 2.1025067863529907, 1.4440651502529906, 3.5897600220270816]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,5,3392555901,0.00010052570862473242,0.00010052570862473242,10000,10000,1.4112,"[2.293202128318842, -1.6243861684864345, -0.776200737935901, -1.652189843910607, 0.3481099157255194, -4.986001162945195, -0.7442539137706556, 2.2419597308915016, 4.9303493239950065, 2.1950771133997824]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,6,4231678047,4.21178495918495e-05,4.21178495918495e-05,10000,10000,1.3731,"[-2.219611788880105, -4.967110919113263, -0.04377227273304163, -4.934234112925966, -4.98778248209808, 0.7858741047474957, -3.94593919782006, 4.03836811861707, 1.5445620487520593, 0.24004119385844724]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,7,2103627889,9.548260516256679e-05,9.548260516256679e-05,10000,10000,1.5457,"[3.4025637360148604, 1.6507099645382297, -3.5254435451690496, -1.4673146265582175, -1.8568423370229752, -2.809514175649694, -0.4027427556062211, 3.185909973054924, 2.580895015021822, -4.109024412541819]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,8,1896069772,9.545367965146934e-05,9.545367965146934e-05,10000,10000,1.7742,"[-1.5803222949608706, -3.900456297924154, -1.3849066531436858, -4.5635609717091725, -1.1950104525358043, -4.713925224454108, 0.13647466477309678, 1.0931731227179715, -0.5280911856106822, -0.5323436341178771]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,9,2509966118,0.0001150540955426882,0.0001150540955426882,10000,10000,1.6667,"[2.977851753893489, 3.9816052458563167, -0.49486052706512673, 2.3918995031364183, 0.026401871918050324, -1.3724012088287445, -3.1611605813331223, 2.797307007915444, 4.162454166691999, 3.403090163948989]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,10,2732551838,0.0002345971051964657,0.0002345971051964657,10000,10000,1.7132,"[-1.9856030207882327, 4.061968765269931, -3.560766285992024, -1.3127765631918322, 4.25173759782281, 4.536245811769799, 2.8590730849611155, -3.510325183000255, 4.742940197182413, -4.713152875641693]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,11,1271936977,0.00011870308669814644,0.00011870308669814644,10000,10000,1.6556,"[2.846773129030719, 1.1638535455376555, 4.999513382068889, -0.18443212476754312, -4.790214912969767, 0.725042405066175, -1.1985480293418682, -3.8017203676668734, -0.03810751478695318, 1.6475517045352142]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,12,1185392675,0.00013534339896048575,0.00013534339896048575,10000,10000,1.6778,"[-2.884652851186817, -4.802785183774599, -3.8154945190639133, 4.406887379243428, 1.1503529315104952, -0.25218956562330297, 0.2861763130442113, 0.5639869239143158, 3.138494335591352, 4.750125073774783]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,13,4077824277,8.852929524250097e-05,8.852929524250097e-05,10000,10000,1.706,"[-2.321227064926049, 3.3495473182174145, -0.9491862543762686, -3.4857848683108976, -1.1372329843581817, 1.8091254298857855, 4.011089751039826, 3.027057114789063, -3.4575783591629285, 0.2867594070703574]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,14,1184715493,4.587288955082425e-05,4.587288955082425e-05,10000,10000,1.6881,"[2.3319155656065718, -0.9854462686735873, 4.98149974287733, 0.30022177054863697, 0.2937704742634004, -0.7678123639936725, 3.890346174210525, 1.5691696776983122, 2.866020274331417, -2.554696100398804]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,15,2446016998,2.0025976331994322e-05,2.0025976331994322e-05,10000,10000,1.7607,"[-3.8354928034337235, -2.99194092096414, -2.2263034124373795, -4.87772267427878, 3.75704328304624, -4.6659743819536015, -0.8410592890464343, -2.990067437433968, 0.22602546616925273, 1.964665755189488]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,16,416789505,0.00011904794543637909,0.00011904794543637909,10000,10000,1.5165,"[-4.225418603451251, 2.689993363613553, 2.1035855964123567, -4.911167091448935, -1.5538342224173682, 2.987876291744957, -1.7594965774838878, -0.3323188782015727, 1.4927299749397456, -0.8179765776089476]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,17,2332675101,9.71292800380219e-05,9.71292800380219e-05,10000,10000,1.5041,"[1.5440489919163447, 1.884639299470635, 1.7510199950699175, 1.5887041568973803, 1.1261094368664786, 2.312590412584809, -3.1578256408842336, 2.120838221773875, 0.5831428752511254, 4.585649371218569]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,18,912314222,0.00019630511541812723,0.00019630511541812723,10000,10000,1.9834,"[-3.320001884679577, 4.224209848293771, 2.828030943720435, 2.386759152905576, 1.7237112414471767, -0.44336248344192875, -4.995786210695208, 1.6202565554543362, 0.05866649792309886, 2.633558974003982]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,19,1418461055,0.0001586688726109564,0.0001586688726109564,10000,10000,1.4414,"[0.15260518288951763, 4.288431992214672, 2.39043050732945, -2.484293783971136, 3.842970437886722, -0.020658064185491876, 3.357639909715126, 0.49886738380990003, -1.3879254368659861, -3.7418966216207314]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,20,4256789355,8.687355075409631e-05,8.687355075409631e-05,10000,10000,1.5339,"[-3.8181740228097847, 1.593065061672987, -3.985338361258445, 1.9714644715989351, 0.12583993350384404, 4.459550536503752, 0.8785592352470963, 1.7947745171320593, -3.7791710104925684, 2.487608712901424]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,21,220397198,9.168790867464249e-05,9.168790867464249e-05,10000,10000,1.7821,"[-0.06067391734552885, 1.266377680146464, -1.9971159771293583, -2.9660244624978933, -2.617500077114466, 1.722508660222692, -4.703186325450233, -1.4402441451689878, 2.159699389313886, -3.11565369233543]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,22,854564143,6.170669417771002e-05,6.170669417771002e-05,10000,10000,1.3925,"[-3.821162950659922, -0.7919296192678531, 0.6754185203589956, 0.6447225319336194, 1.644284692167651, 1.501501333347383, -1.8392269888420407, 4.958392695475909, -4.283250364823841, 3.856742500444221]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,23,3161109371,0.0002198357957261532,0.0002198357957261532,10000,10000,2.5854,"[-3.129420151335122, 3.705529163310228, -3.5761708709637894, 0.6540933225620424, 2.538745446469803, -2.620381130127198, -2.6292501700160162, -4.108350563544772, 3.519768380386811, -0.8974789081613375]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,24,1392751141,3.967055570597289e-06,3.967055570597289e-06,10000,10000,2.2153,"[2.2629993448109094, 3.1596021568858195, 0.6427107362869791, -4.999397816798935, 4.458038101464998, -4.964675994378108, 1.5480367344944614, -4.69072968251446, -2.427663065278045, 1.5114213131844856]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,25,2712767821,7.998208023241027e-05,7.998208023241027e-05,10000,10000,2.4844,"[-3.9613523542830062, 4.031498350185856, 0.04873639694352708, 0.5605443166206197, -3.8835323096380243, 3.677286968419758, -3.3314723185029522, -4.90176754448732, -1.4962993304648253, -4.403273325845248]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,26,1700034869,0.00012303592999129975,0.00012303592999129975,10000,10000,2.51,"[2.1546164737047366, -1.3955113654678648, -1.6422351581194976, -3.314270914186328, -4.412053509712148, -0.43783171616790484, 2.814567734548799, -2.0611418873627567, -2.685372647980884, -3.2800556107350767]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,27,119302232,0.00010950894552519408,0.00010950894552519408,10000,10000,2.4777,"[0.2325563171594176, -4.5142258483905415, 2.7147081979212024, -0.140228799241795, 4.818588220960552, -4.554612147235741, -4.883266783860409, 1.1944525488715394, -0.5784989840686201, 3.1142772589941288]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,28,751099095,6.555354922233025e-05,6.555354922233025e-05,10000,10000,2.2758,"[-4.628088009622218, 1.551335079434697, 4.412594929993418, 0.41194345691834167, 3.401902903644828, 2.233102624296251, 3.99565230511071, 1.9553489275689309, -4.9741409365242895, -4.542427853578937]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,29,2092644970,6.716363976289053e-05,6.716363976289053e-05,10000,10000,2.1714,"[-2.129493811956147, -0.12579734345309945, -2.7871755103538574, 2.9939312054052323, -1.3562966709466977, -3.5357366464146347, -3.64956153627645, 2.5046824121778575, 2.6704044306547168, 0.152100795820231]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,30,4098684717,8.223843019083965e-05,8.223843019083965e-05,10000,10000,2.1504,"[-1.3992165708874948, 0.21102106718771907, 1.4844564451796458, -2.0734592184920153, -3.536983398791506, 4.043099501307997, -3.140903992556435, -3.3126839222023605, -2.778117324882274, -4.72936237310776]"
random_objective,CMA-ES/IPOP sigma0=0.3*span ipop=x2,ok,,cmaes,10,31,2532357322,0.00010684781164060908,0.00010684781164060908,10000,10000,1.8609,"[-2.0955620010127873, 3.464093370846509, -4.897127134300514, 0.2393658252426505, 1.5805261529276216, -3.7685539085204445, -0.8728200026331198, -1.695662469794548, 1.2657814563631753, -2.5251019069756637]"
